Date,Close,daily_articles
2019-10-16,275.3004150390625,2
2019-10-17,276.11236572265625,1
2019-10-21,276.7673645019531,2
2019-10-22,275.8631896972656,2
2019-10-23,276.665771484375,2
2019-10-25,278.25262451171875,1
2019-10-28,279.821044921875,3
2019-10-30,280.5960388183594,3
2019-10-31,279.84869384765625,1
2019-11-01,282.4412536621094,2
2019-11-04,283.5760498046875,1
2019-11-05,283.2623291015625,1
2019-11-06,283.3269958496094,2
2019-11-08,285.02447509765625,2
2019-11-11,284.4801940917969,2
2019-11-12,285.0798645019531,3
2019-11-13,285.172119140625,2
2019-11-18,287.8660583496094,1
2019-11-19,287.7830505371094,3
2019-11-20,286.7127990722656,2
2019-11-22,286.8880615234375,1
2019-12-02,287.5154724121094,2
2019-12-03,285.5872802734375,2
2019-12-04,287.3494567871094,2
2019-12-05,287.8660583496094,1
2019-12-06,290.4954528808594,1
2019-12-11,290.08026123046875,1
2019-12-17,294.8316345214844,2
2019-12-18,294.8500061035156,3
2019-12-19,296.0587463378906,1
2019-12-20,297.3565979003906,3
2019-12-23,297.8109741210937,1
2019-12-27,299.3314208984375,1
2019-12-30,297.6811218261719,3
2019-12-31,298.4042358398437,2
2020-01-02,301.1949462890625,2
2020-01-06,300.0545349121094,1
2020-01-07,299.2108154296875,2
2020-01-09,302.8451538085937,1
2020-01-13,304.0504455566406,1
2020-01-15,304.27301025390625,1
2020-01-16,306.80401611328125,1
2020-01-21,307.1563720703125,2
2020-01-22,307.1933288574219,2
2020-01-24,304.8106384277344,1
2020-01-27,299.9247436523437,1
2020-01-28,303.0677795410156,1
2020-02-03,300.4995422363281,1
2020-02-05,308.6026916503906,2
2020-02-07,307.9908142089844,1
2020-02-11,310.82769775390625,2
2020-02-12,312.830322265625,1
2020-02-18,312.1906433105469,1
2020-02-20,312.3946228027344,1
2020-02-24,298.9234619140625,2
2020-02-25,289.8655090332031,2
2020-02-26,288.7992248535156,3
2020-02-27,275.82879638671875,2
2020-02-28,274.6698608398437,3
2020-03-02,286.5649108886719,3
2020-03-03,278.3598327636719,2
2020-03-04,290.0601501464844,1
2020-03-09,254.2453765869141,4
2020-03-10,267.4012756347656,2
2020-03-11,254.3658447265625,2
2020-03-12,230.02883911132807,2
2020-03-13,249.6931915283203,3
2020-03-16,222.37081909179688,2
2020-03-17,234.37705993652344,1
2020-03-18,222.5098571777344,4
2020-03-19,222.9827117919922,1
2020-03-20,213.3734436035156,1
2020-03-24,226.75587463378903,1
2020-03-25,230.1504821777344,1
2020-03-26,243.58892822265625,3
2020-03-27,236.3334808349609,1
2020-03-30,244.0085906982422,2
2020-03-31,240.3714904785156,1
2020-04-01,229.5536346435547,2
2020-04-02,234.8506774902344,2
